date,season,matchday,goalkeeper,penaltytaker,homegame,result,minute,goaldiff,gkclub,ptclub,gkage,ptage,gkexp,ptexp
-2322.0,63/64,1.0,"Loy, Egon","Neumann, Jürgen",2.0,Tor,38.0,0.0,Eintracht Frankfurt,1.FC Kaiserslautern,32.0,21.0,1.0,0.0
-2322.0,63/64,1.0,"Schnarr, Wolfgang","Schämer, Lothar",1.0,Tor,40.0,1.0,1.FC Kaiserslautern,Eintracht Frankfurt,22.0,23.0,0.0,1.0
-2322.0,63/64,1.0,"Wabra, Roland","Schimmöller, Hans-Günther",1.0,Tor,62.0,1.0,1.FC Nürnberg,Hertha BSC,27.0,28.0,1.0,0.0
-2315.0,63/64,2.0,"Tilkowski, Hans","Stemmer, Alfons",2.0,gehalten,65.0,0.0,Borussia Dortmund,TSV 1860 München,28.0,29.0,2.0,1.0
-2308.0,63/64,3.0,"Radenkovic, Petar","Sturm, Hans",2.0,Tor,67.0,0.0,TSV 1860 München,1.FC Köln,29.0,28.0,1.0,2.0
-2308.0,63/64,3.0,"Ewert, Fritz","Auernhammer, Hans",1.0,Tor,55.0,1.0,1.FC Köln,TSV 1860 München,26.0,30.0,2.0,1.0
-2308.0,63/64,3.0,"Manglitz, Manfred","Tybussek, Helmut",1.0,Tor,72.0,-3.0,Meidericher SV,Preußen Münster,23.0,27.0,1.0,2.0
-2308.0,63/64,3.0,"Wabra, Roland","Huberts, Wilhelm",1.0,Tor,82.0,2.0,1.FC Nürnberg,Eintracht Frankfurt,27.0,25.0,1.0,0.0
-2308.0,63/64,3.0,"Danner1, Volker","Moll, Jürgen",2.0,Tor,72.0,1.0,1.FC Saarbrücken,Eintracht Braunschweig,21.0,23.0,0.0,2.0
-2301.0,63/64,4.0,"Eiteljoerge, Herbert","Reisch, Stefan",1.0,Tor,2.0,0.0,Preußen Münster,1.FC Nürnberg,28.0,21.0,2.0,1.0
-2294.0,63/64,5.0,"Strich, Horst-Dieter","Stemmer, Alfons",1.0,Tor,57.0,0.0,1.FC Kaiserslautern,TSV 1860 München,22.0,30.0,0.0,1.0
-2294.0,63/64,5.0,"Strich, Horst-Dieter","Küppers, Hans",1.0,vorbei,43.0,0.0,1.FC Kaiserslautern,TSV 1860 München,22.0,24.0,0.0,1.0
-2266.0,63/64,8.0,"Krumnow, Hans-Jürgen","Rylewicz, Burghart",1.0,Tor,16.0,0.0,Hertha BSC,Borussia Dortmund,20.0,27.0,0.0,2.0
-2266.0,63/64,8.0,"Radenkovic, Petar","Seeler, Uwe",1.0,Tor,19.0,0.0,TSV 1860 München,Hamburger SV,29.0,27.0,1.0,2.0
-2259.0,63/64,9.0,"Paul1, Manfred","Krafczyk, Dieter",1.0,gehalten,16.0,0.0,Karlsruher SC,1.FC Saarbrücken,25.0,22.0,1.0,0.0
-2259.0,63/64,9.0,"Eisenhofer, Karl","Schimmöller, Hans-Günther",1.0,gehalten,88.0,2.0,Eintracht Frankfurt,Hertha BSC,29.0,28.0,0.0,0.0
-2259.0,63/64,9.0,"Strich, Horst-Dieter","Reisch, Stefan",1.0,gehalten,75.0,5.0,1.FC Kaiserslautern,1.FC Nürnberg,22.0,21.0,0.0,1.0
-2245.0,63/64,10.0,"Mühlmann, Horst","Huberts, Wilhelm",1.0,Tor,72.0,-2.0,FC Schalke 04,Eintracht Frankfurt,23.0,25.0,1.0,0.0
-2245.0,63/64,10.0,"Eiteljoerge, Herbert","Witlatschil, Gustav",1.0,Tor,44.0,-2.0,Preußen Münster,Karlsruher SC,29.0,28.0,2.0,1.0
-2245.0,63/64,10.0,"Tillich, Wolfgang","Schütz1, Arnold",1.0,vorbei,40.0,-1.0,Hertha BSC,SV Werder Bremen,24.0,28.0,0.0,2.0
-2238.0,63/64,11.0,"Loy, Egon","Schütz1, Arnold",1.0,Tor,48.0,-1.0,Eintracht Frankfurt,SV Werder Bremen,32.0,28.0,1.0,2.0
-2231.0,63/64,12.0,"Tilkowski, Hans","Nolden, Ludwig",1.0,Tor,23.0,2.0,Borussia Dortmund,Meidericher SV,28.0,28.0,2.0,2.0
-2231.0,63/64,12.0,"Loy, Egon","Stemmer, Alfons",2.0,Tor,69.0,3.0,Eintracht Frankfurt,TSV 1860 München,32.0,30.0,1.0,1.0
-2224.0,63/64,13.0,"Jäcker, Hans","Hoffmann3, Theodor",1.0,Tor,34.0,-1.0,Eintracht Braunschweig,VfB Stuttgart,31.0,23.0,2.0,1.0
-2224.0,63/64,13.0,"Ewert, Fritz","Emmerich, Lothar",1.0,gehalten,73.0,1.0,1.FC Köln,Borussia Dortmund,26.0,22.0,2.0,2.0
