Country,player_id,player_name,Kicker_Foot,Kicker_Side,Goalie_Side,Outcome,goalkeeper_name,goalkeeper_id,Home_Goals,Away_Goals,Minute,Team_Type
Portugal,1.0,Galeno ,R,L,L,1,Andrew,1.0,0,0,30,H
Portugal,2.0,Namaso,R,L,R,1,Andrew,1.0,0,0,70,H
Portugal,3.0,Safira,R,R,L,1,Dani Figueira,2.0,1,0,70,A
Portugal,4.0,Reisinho,L,L,R,1,Ricardo Batista,3.0,0,0,77,A
Portugal,1.0,Galeno ,R,L,R,1,Gabriel Batista,4.0,1,0,25,A
Portugal,5.0,Alan,R,L,L,1,Nico Mantl,5.0,1,1,45,H
Portugal,6.0,Fujimoto,L,C,R,1,Simao,6.0,2,2,90,H
Portugal,7.0,Clayton,R,R,R,1,Nico Mantl,5.0,0,0,43,H
Portugal,8.0,M. Leonardo,R,L,L,1,Kewin,7.0,0,1,90,A
Portugal,1.0,Galeno ,R,L,L,1,Velho,8.0,0,0,48,H
Portugal,9.0,Ángel Di María,L,L,R,1,Lucas França,9.0,0,0,59,A
Portugal,10.0,Cassiano,R,L,L,1,Andrew,1.0,1,0,85,A
Portugal,10.0,Cassiano,R,R,L,1,Varela,10.0,0,0,39,H
Portugal,11.0,G. Assunçao,R,C,R,1,Nico Mantl,5.0,0,1,77,H
Portugal,4.0,Reisinho,L,R,L,1,Varela,10.0,2,0,90,A
Portugal,4.0,Reisinho,L,C,L,1,Varela,10.0,2,1,90,A
Portugal,12.0,T. Silva,R,L,L,1,Bruno Brigiido,11.0,1,1,69,A
Portugal,13.0,R. Pinho,L,L,R,1,Varela,10.0,1,2,84,H
Portugal,14.0,R. Macedo,R,C,L,1,Gabriel Batista,4.0,1,0,13,H
Portugal,15.0,Bruma,R,L,R,1,Nico Mantl,5.0,0,0,16,A
Portugal,10.0,Cassiano,R,R,L,1,Velho,8.0,0,1,32,H
Portugal,16.0,O. Aranda,R,R,L,1,Robles,12.0,2,0,45,A
Portugal,9.0,Ángel Di María,L,R,L,1,Nico Mantl,5.0,0,1,71,A
Portugal,15.0,Bruma,R,C,R,1,Robles,12.0,1,0,56,H
Portugal,17.0,A. Marques,R,R,L,1,Matheus,13.0,2,0,68,A
Portugal,11.0,G. Assunçao,R,R,R,1,Patrick S.,14.0,1,0,72,A
Portugal,4.0,Reisinho,L,L,R,1,Velho,8.0,0,1,90,H
Portugal,12.0,T. Silva,R,C,R,1,Lucas França,9.0,0,1,24,H
Portugal,17.0,A. Marques,R,R,L,1,Caio Seco,15.0,0,1,22,H
Portugal,18.0,G. Silva,R,L,R,1,Lazar,16.0,0,0,32,A
